country,indicatorType,indicator,unit,year,value
bahrain,energy indicators,Total energy export,ktoe,2011,11469.366
bahrain,energy indicators,Total energy export - Crude Oil and Oil Products,%,2011,99.91976017
bahrain,energy indicators,Total energy export - Natural Gas,%,2011,0
bahrain,energy indicators,Total energy export - Coal,%,2011,0
bahrain,energy indicators,Total energy export - Electricity,%,2011,0.080231113
bahrain,energy indicators,Total energy import,ktoe,2011,4151.445
bahrain,energy indicators,Total energy import- Crude Oil and Oil Products,%,2011,99.5297541
bahrain,energy indicators,Total energy import - Natural Gas,%,2011,0
bahrain,energy indicators,Total energy import - Coal,%,2011,0
bahrain,energy indicators,Total energy import - Electricity,%,2011,0.470245902
bahrain,energy indicators,Total primary energy supply (TPES),ktoe,2011,12669.942
bahrain,energy indicators,Primary energy supply per capita,toe,2011,9.701333844
bahrain,energy indicators,Energy productivity,$/kgoe,2011,2.270728627
bahrain,energy indicators,Energy subsidies,$B,2011,
bahrain,energy indicators,Final energy consumption,ktoe,2011,5104.158
bahrain,energy indicators,Final energy consumption - Crude Oil and Oil Products,%,2011,30.49378565
bahrain,energy indicators,Final energy consumption - Natural Gas,%,2011,31.13259817
bahrain,energy indicators,Final energy consumption - Coal,%,2011,0
bahrain,energy indicators,Final energy consumption - Electricity,%,2011,38.37361618
bahrain,energy indicators,Final energy consumption - Other,%,2011,0
bahrain,energy indicators,Energy use per capita,toe,2011,3.908237366
bahrain,energy indicators,Energy use by Sector - Industry,%,2011,27.34288398
bahrain,energy indicators,Energy use by Sector - Transport,%,2011,19.5407744
bahrain,energy indicators,Energy use by Sector - Residential,%,2011,11.48900563
bahrain,energy indicators,Energy use by Sector - Tertiary,%,2011,7.620806409
bahrain,energy indicators,Energy use by Sector - Agricultural & Fishing,%,2011,0.080875239
bahrain,energy indicators,Energy use by Sector - Other,%,2011,33.92565434
bahrain,energy indicators,Gross energy production,ktoe,2010,20206.379
bahrain,energy indicators,Gross energy production - Crude Oil and Oil Products,%,2010,47.70740468
bahrain,energy indicators,Gross energy production - Natural Gas,%,2010,52.29259532
bahrain,energy indicators,Gross energy production - Coal,%,2010,0
bahrain,energy indicators,Gross energy production - Nuclear,%,2010,0
bahrain,energy indicators,Gross energy production - Renewables,%,2010,0
bahrain,energy indicators,Gross energy production - Solar,%,2010,0
bahrain,energy indicators,Gross energy production - Wind,%,2010,0
bahrain,energy indicators,Gross energy production - Hydropower,%,2010,0
bahrain,energy indicators,Gross energy production - Other,%,2010,0
bahrain,energy indicators,Total energy export,ktoe,2010,11767.663
bahrain,energy indicators,Total energy export - Crude Oil and Oil Products,%,2010,99.98611449
bahrain,energy indicators,Total energy export - Natural Gas,%,2010,0
bahrain,energy indicators,Total energy export - Coal,%,2010,0
bahrain,energy indicators,Total energy export - Electricity,%,2010,0.01388551
bahrain,energy indicators,Total energy import,ktoe,2010,4962.05
bahrain,energy indicators,Total energy import- Crude Oil and Oil Products,%,2010,99.66725446
bahrain,energy indicators,Total energy import - Natural Gas,%,2010,0
bahrain,energy indicators,Total energy import - Coal,%,2010,0
bahrain,energy indicators,Total energy import - Electricity,%,2010,0.332765692
bahrain,energy indicators,Total primary energy supply (TPES),ktoe,2010,12666.535
bahrain,energy indicators,Primary energy supply per capita,toe,2010,10.04483347
bahrain,energy indicators,Energy productivity,$/kgoe,2010,2.029757941
bahrain,energy indicators,Energy subsidies,$B,2010,
bahrain,energy indicators,Final energy consumption,ktoe,2010,5115.611
bahrain,energy indicators,Final energy consumption - Crude Oil and Oil Products,%,2010,30.7796664
bahrain,energy indicators,Final energy consumption - Natural Gas,%,2010,31.90264076
bahrain,energy indicators,Final energy consumption - Coal,%,2010,0
bahrain,energy indicators,Final energy consumption - Electricity,%,2010,37.31769284
bahrain,energy indicators,Final energy consumption - Other,%,2010,0
bahrain,energy indicators,Energy use per capita,toe,2010,4.056789056
bahrain,energy indicators,Energy use by Sector - Industry,%,2010,25.29482793
bahrain,energy indicators,Energy use by Sector - Transport,%,2010,20.686483
bahrain,energy indicators,Energy use by Sector - Residential,%,2010,11.58045442
bahrain,energy indicators,Energy use by Sector - Tertiary,%,2010,7.93492703
bahrain,energy indicators,Energy use by Sector - Agricultural & Fishing,%,2010,0.082375302
bahrain,energy indicators,Energy use by Sector - Other,%,2010,34.42093232
bahrain,oil indicators,Oil production,kbl/day,2017,
bahrain,oil indicators,Oil reserves,Gbl,2017,0.12
bahrain,oil indicators,Oil reserve to production ratio,years,2017,
bahrain,oil indicators,Fiscal breakeven oil price,$/bl,2017,101.1103924
bahrain,oil indicators,External breakeven oil price,$/bl,2017,71.63825546
bahrain,oil indicators,Oil Imports,kbl,2017,
bahrain,oil indicators,Oil exports,kbl,2017,
bahrain,oil indicators,Oil rents (% of GDP),%,2017,
bahrain,oil indicators,Oil production,kbl/day,2016,
bahrain,oil indicators,Oil reserves,Gbl,2016,0.12
bahrain,oil indicators,Oil reserve to production ratio,years,2016,
bahrain,oil indicators,Fiscal breakeven oil price,$/bl,2016,105.6724673
bahrain,oil indicators,External breakeven oil price,$/bl,2016,64.62957549
bahrain,oil indicators,Oil Imports,kbl,2016,
bahrain,oil indicators,Oil exports,kbl,2016,
bahrain,oil indicators,Oil rents (% of GDP),%,2016,
bahrain,oil indicators,Oil production,kbl/day,2015,63
bahrain,oil indicators,Oil reserves,Gbl,2015,0.12
bahrain,oil indicators,Oil reserve to production ratio,years,2015,4.348771472
bahrain,oil indicators,Fiscal breakeven oil price,$/bl,2015,118.6842011
bahrain,oil indicators,External breakeven oil price,$/bl,2015,60.83004085
bahrain,oil indicators,Oil Imports,kbl,2015,
bahrain,oil indicators,Oil exports,kbl,2015,
bahrain,oil indicators,Oil rents (% of GDP),%,2015,2.6
bahrain,oil indicators,Oil production,kbl/day,2014,63
bahrain,oil indicators,Oil reserves,Gbl,2014,0.12
bahrain,oil indicators,Oil reserve to production ratio,years,2014,4.348771472
bahrain,oil indicators,Fiscal breakeven oil price,$/bl,2014,103.3143201
bahrain,oil indicators,External breakeven oil price,$/bl,2014,75.48308388
bahrain,oil indicators,Oil Imports,kbl,2014,76
bahrain,oil indicators,Oil exports,kbl,2014,246
bahrain,oil indicators,Oil rents (% of GDP),%,2014,4.5
bahrain,oil indicators,Oil production,kbl/day,2013,62
bahrain,oil indicators,Oil reserves,Gbl,2013,0.12
bahrain,oil indicators,Oil reserve to production ratio,years,2013,4.418912947
bahrain,oil indicators,Fiscal breakeven oil price,$/bl,2013,151.3397162
bahrain,oil indicators,External breakeven oil price,$/bl,2013,67.22483467
bahrain,oil indicators,Oil Imports,kbl,2013,82
bahrain,oil indicators,Oil exports,kbl,2013,244
bahrain,oil indicators,Oil rents (% of GDP),%,2013,4.5
bahrain,oil indicators,Oil production,kbl/day,2012,63
bahrain,oil indicators,Oil reserves,Gbl,2012,0.12
bahrain,oil indicators,Oil reserve to production ratio,years,2012,4.348771472
bahrain,oil indicators,Fiscal breakeven oil price,$/bl,2012,130.1175733
bahrain,oil indicators,External breakeven oil price,$/bl,2012,61.78264215
bahrain,oil indicators,Oil Imports,kbl,2012,107
bahrain,oil indicators,Oil exports,kbl,2012,242
bahrain,oil indicators,Oil rents (% of GDP),%,2012,4.8
bahrain,oil indicators,Oil production,kbl/day,2011,63
bahrain,oil indicators,Oil reserves,Gbl,2011,0.12
bahrain,oil indicators,Oil reserve to production ratio,years,2011,4.348771472
bahrain,oil indicators,Fiscal breakeven oil price,$/bl,2011,110.6782185
bahrain,oil indicators,External breakeven oil price,$/bl,2011,71.28280339
bahrain,oil indicators,Oil Imports,kbl,2011,82
bahrain,oil indicators,Oil exports,kbl,2011,232
bahrain,oil indicators,Oil rents (% of GDP),%,2011,4.5
bahrain,oil indicators,Oil production,kbl/day,2010,65
bahrain,oil indicators,Oil reserves,Gbl,2010,0.12
bahrain,oil indicators,Oil reserve to production ratio,years,2010,4.214963119
bahrain,oil indicators,Fiscal breakeven oil price,$/bl,2010,102.8277932
bahrain,oil indicators,External breakeven oil price,$/bl,2010,66.29892279
bahrain,oil indicators,Oil Imports,kbl,2010,97
bahrain,oil indicators,Oil exports,kbl,2010,238
bahrain,oil indicators,Oil rents (% of GDP),%,2010,3
bahrain,gas indicators,Gas production,bcm,2017,
bahrain,gas indicators,Gas reserves,bcm,2017,92.02975181
bahrain,gas indicators,Gas reserve to production ratio,years,2017,
bahrain,gas indicators,Gas Imports,bcm,2017,
bahrain,gas indicators,Gas Imports as LNG,bcm,2017,
bahrain,gas indicators,Gas exports,bcm,2017,
bahrain,gas indicators,Gas exports as LNG,bcm,2017,
bahrain,gas indicators,Gas production,bcm,2016,
bahrain,gas indicators,Gas reserves,bcm,2016,92.02975181
bahrain,gas indicators,Gas reserve to production ratio,years,2016,
bahrain,gas indicators,Gas Imports,bcm,2016,
bahrain,gas indicators,Gas Imports as LNG,bcm,2016,
bahrain,gas indicators,Gas exports,bcm,2016,
bahrain,gas indicators,Gas exports as LNG,bcm,2016,
bahrain,gas indicators,Gas production,bcm,2015,14.934
bahrain,gas indicators,Gas reserves,bcm,2015,92.02975181
bahrain,gas indicators,Gas reserve to production ratio,years,2015,6.162431486
bahrain,gas indicators,Gas Imports,bcm,2015,0
bahrain,gas indicators,Gas Imports as LNG,bcm,2015,0
bahrain,gas indicators,Gas exports,bcm,2015,0
bahrain,gas indicators,Gas exports as LNG,bcm,2015,0
bahrain,gas indicators,Gas production,bcm,2014,14.934
bahrain,gas indicators,Gas reserves,bcm,2014,92.02975181
bahrain,gas indicators,Gas reserve to production ratio,years,2014,6.162431486
bahrain,gas indicators,Gas Imports,bcm,2014,0
bahrain,gas indicators,Gas Imports as LNG,bcm,2014,0
bahrain,gas indicators,Gas exports,bcm,2014,0
bahrain,gas indicators,Gas exports as LNG,bcm,2014,0
bahrain,gas indicators,Gas production,bcm,2013,14.246
bahrain,gas indicators,Gas reserves,bcm,2013,92.02975181
bahrain,gas indicators,Gas reserve to production ratio,years,2013,6.460041542
bahrain,gas indicators,Gas Imports,bcm,2013,0
bahrain,gas indicators,Gas Imports as LNG,bcm,2013,0
bahrain,gas indicators,Gas exports,bcm,2013,0
bahrain,gas indicators,Gas exports as LNG,bcm,2013,0
bahrain,gas indicators,Gas production,bcm,2012,13.061
bahrain,gas indicators,Gas reserves,bcm,2012,92.02975181
bahrain,gas indicators,Gas reserve to production ratio,years,2012,7.046148979
bahrain,gas indicators,Gas Imports,bcm,2012,0
bahrain,gas indicators,Gas Imports as LNG,bcm,2012,0
bahrain,gas indicators,Gas exports,bcm,2012,0
bahrain,gas indicators,Gas exports as LNG,bcm,2012,0
bahrain,gas indicators,Gas production,bcm,2011,12.975
bahrain,gas indicators,Gas reserves,bcm,2011,92.02975181
bahrain,gas indicators,Gas reserve to production ratio,years,2011,7.092851777
bahrain,gas indicators,Gas Imports,bcm,2011,0
bahrain,gas indicators,Gas Imports as LNG,bcm,2011,0
bahrain,gas indicators,Gas exports,bcm,2011,0
bahrain,gas indicators,Gas exports as LNG,bcm,2011,0
bahrain,gas indicators,Gas production,bcm,2010,12.939
bahrain,gas indicators,Gas reserves,bcm,2010,92.02975181
bahrain,gas indicators,Gas reserve to production ratio,years,2010,7.11258612
bahrain,gas indicators,Gas Imports,bcm,2010,0
bahrain,gas indicators,Gas Imports as LNG,bcm,2010,0
bahrain,gas indicators,Gas exports,bcm,2010,0
bahrain,gas indicators,Gas exports as LNG,bcm,2010,0
bahrain,electricity indicators,Access to Electricity,%,2017,
bahrain,electricity indicators,Total installed generation capacity,MW,2017,
bahrain,electricity indicators,Total generated electricity,GWh,2017,
bahrain,electricity indicators,Electricty imports,GWh,2017,
bahrain,electricity indicators,Electricity exports,GWh,2017,
bahrain,electricity indicators,Losses,GWh,2017,
bahrain,electricity indicators,Final electricity consumption,GWh,2017,
bahrain,electricity indicators,Electricity consumption per capita,kWh,2017,
bahrain,electricity indicators,Cost of electricity,$/kWh,2017,
bahrain,electricity indicators,Electricity price,$/kWh,2017,
bahrain,electricity indicators,Electricity Generation - Crude Oil and Oil Products,%,2017,
bahrain,electricity indicators,Electricity Generation - Natural Gas,%,2017,
bahrain,electricity indicators,Electricity Generation - Coal,%,2017,
bahrain,electricity indicators,Electricity Generation - Nuclear,%,2017,
bahrain,electricity indicators,Electricity Generation - Renewables,%,2017,
bahrain,electricity indicators,Electricity Generation - Solar,%,2017,
bahrain,electricity indicators,Electricity Generation - Wind,%,2017,
bahrain,electricity indicators,Electricity Generation - Hydropower,%,2017,
bahrain,electricity indicators,Electricity Generation - Other,%,2017,
bahrain,electricity indicators,Access to Electricity,%,2016,
bahrain,electricity indicators,Total installed generation capacity,MW,2016,
bahrain,electricity indicators,Total generated electricity,GWh,2016,
bahrain,electricity indicators,Electricty imports,GWh,2016,
bahrain,electricity indicators,Electricity exports,GWh,2016,
bahrain,electricity indicators,Losses,GWh,2016,
bahrain,electricity indicators,Final electricity consumption,GWh,2016,
bahrain,electricity indicators,Electricity consumption per capita,kWh,2016,
bahrain,electricity indicators,Cost of electricity,$/kWh,2016,
bahrain,electricity indicators,Electricity price,$/kWh,2016,
bahrain,electricity indicators,Electricity Generation - Crude Oil and Oil Products,%,2016,
bahrain,electricity indicators,Electricity Generation - Natural Gas,%,2016,
bahrain,electricity indicators,Electricity Generation - Coal,%,2016,
bahrain,electricity indicators,Electricity Generation - Nuclear,%,2016,
bahrain,electricity indicators,Electricity Generation - Renewables,%,2016,
bahrain,electricity indicators,Electricity Generation - Solar,%,2016,
bahrain,electricity indicators,Electricity Generation - Wind,%,2016,
bahrain,electricity indicators,Electricity Generation - Hydropower,%,2016,
bahrain,electricity indicators,Electricity Generation - Other,%,2016,
bahrain,electricity indicators,Access to Electricity,%,2015,
bahrain,electricity indicators,Total installed generation capacity,MW,2015,
bahrain,electricity indicators,Total generated electricity,GWh,2015,
bahrain,electricity indicators,Electricty imports,GWh,2015,
bahrain,electricity indicators,Electricity exports,GWh,2015,
bahrain,electricity indicators,Losses,GWh,2015,
bahrain,electricity indicators,Final electricity consumption,GWh,2015,
bahrain,electricity indicators,Electricity consumption per capita,kWh,2015,
bahrain,electricity indicators,Cost of electricity,$/kWh,2015,
bahrain,electricity indicators,Electricity price,$/kWh,2015,
bahrain,electricity indicators,Electricity Generation - Crude Oil and Oil Products,%,2015,
bahrain,electricity indicators,Electricity Generation - Natural Gas,%,2015,
bahrain,electricity indicators,Electricity Generation - Coal,%,2015,
bahrain,electricity indicators,Electricity Generation - Nuclear,%,2015,
bahrain,electricity indicators,Electricity Generation - Renewables,%,2015,
bahrain,electricity indicators,Electricity Generation - Solar,%,2015,
bahrain,electricity indicators,Electricity Generation - Wind,%,2015,
bahrain,electricity indicators,Electricity Generation - Hydropower,%,2015,
bahrain,electricity indicators,Electricity Generation - Other,%,2015,
bahrain,electricity indicators,Access to Electricity,%,2014,100
bahrain,electricity indicators,Total installed generation capacity,MW,2014,3925
bahrain,electricity indicators,Total generated electricity,GWh,2014,27253
bahrain,electricity indicators,Electricty imports,GWh,2014,240
bahrain,electricity indicators,Electricity exports,GWh,2014,237
bahrain,electricity indicators,Losses,GWh,2014,1073
bahrain,electricity indicators,Final electricity consumption,GWh,2014,26186
bahrain,electricity indicators,Electricity consumption per capita,kWh,2014,19226.13803
bahrain,electricity indicators,Cost of electricity,$/kWh,2014,
bahrain,electricity indicators,Electricity price,$/kWh,2014,
bahrain,electricity indicators,Electricity Generation - Crude Oil and Oil Products,%,2014,0.025685246
bahrain,electricity indicators,Electricity Generation - Natural Gas,%,2014,99.97431475
bahrain,electricity indicators,Electricity Generation - Coal,%,2014,0
bahrain,electricity indicators,Electricity Generation - Nuclear,%,2014,0
bahrain,electricity indicators,Electricity Generation - Renewables,%,2014,0
bahrain,electricity indicators,Electricity Generation - Solar,%,2014,0
bahrain,electricity indicators,Electricity Generation - Wind,%,2014,0
bahrain,electricity indicators,Electricity Generation - Hydropower,%,2014,0
bahrain,electricity indicators,Electricity Generation - Other,%,2014,0
bahrain,electricity indicators,Access to Electricity,%,2013,100
bahrain,electricity indicators,Total installed generation capacity,MW,2013,3934
bahrain,electricity indicators,Total generated electricity,GWh,2013,25916
bahrain,electricity indicators,Electricty imports,GWh,2013,70
bahrain,electricity indicators,Electricity exports,GWh,2013,53
bahrain,electricity indicators,Losses,GWh,2013,1351
bahrain,electricity indicators,Final electricity consumption,GWh,2013,24513
bahrain,electricity indicators,Electricity consumption per capita,kWh,2013,18171.23795
bahrain,electricity indicators,Cost of electricity,$/kWh,2013,
bahrain,electricity indicators,Electricity price,$/kWh,2013,0.01
bahrain,electricity indicators,Electricity Generation - Crude Oil and Oil Products,%,2013,0.027010341
bahrain,electricity indicators,Electricity Generation - Natural Gas,%,2013,99.97298966
bahrain,electricity indicators,Electricity Generation - Coal,%,2013,0
bahrain,electricity indicators,Electricity Generation - Nuclear,%,2013,0
bahrain,electricity indicators,Electricity Generation - Renewables,%,2013,0
bahrain,electricity indicators,Electricity Generation - Solar,%,2013,0
bahrain,electricity indicators,Electricity Generation - Wind,%,2013,0
bahrain,electricity indicators,Electricity Generation - Hydropower,%,2013,0
bahrain,electricity indicators,Electricity Generation - Other,%,2013,0
bahrain,electricity indicators,Access to Electricity,%,2012,100
bahrain,electricity indicators,Total installed generation capacity,MW,2012,3934
bahrain,electricity indicators,Total generated electricity,GWh,2012,24775
bahrain,electricity indicators,Electricty imports,GWh,2012,35
bahrain,electricity indicators,Electricity exports,GWh,2012,190
bahrain,electricity indicators,Losses,GWh,2012,1417
bahrain,electricity indicators,Final electricity consumption,GWh,2012,23320
bahrain,electricity indicators,Electricity consumption per capita,kWh,2012,17481.25937
bahrain,electricity indicators,Cost of electricity,$/kWh,2012,
bahrain,electricity indicators,Electricity price,$/kWh,2012,
bahrain,electricity indicators,Electricity Generation - Crude Oil and Oil Products,%,2012,0
bahrain,electricity indicators,Electricity Generation - Natural Gas,%,2012,100
bahrain,electricity indicators,Electricity Generation - Coal,%,2012,0
bahrain,electricity indicators,Electricity Generation - Nuclear,%,2012,0
bahrain,electricity indicators,Electricity Generation - Renewables,%,2012,0
bahrain,electricity indicators,Electricity Generation - Solar,%,2012,0
bahrain,electricity indicators,Electricity Generation - Wind,%,2012,0
bahrain,electricity indicators,Electricity Generation - Hydropower,%,2012,0
bahrain,electricity indicators,Electricity Generation - Other,%,2012,0
bahrain,electricity indicators,Access to Electricity,%,2011,100
bahrain,electricity indicators,Total installed generation capacity,MW,2011,3227
bahrain,electricity indicators,Total generated electricity,GWh,2011,24338
bahrain,electricity indicators,Electricty imports,GWh,2011,227
bahrain,electricity indicators,Electricity exports,GWh,2011,107
bahrain,electricity indicators,Losses,GWh,2011,1563
bahrain,electricity indicators,Final electricity consumption,GWh,2011,22775
bahrain,electricity indicators,Electricity consumption per capita,kWh,2011,17438.74426
bahrain,electricity indicators,Cost of electricity,$/kWh,2011,
bahrain,electricity indicators,Electricity price,$/kWh,2011,
bahrain,electricity indicators,Electricity Generation - Crude Oil and Oil Products,%,2011,0
bahrain,electricity indicators,Electricity Generation - Natural Gas,%,2011,100
bahrain,electricity indicators,Electricity Generation - Coal,%,2011,0
bahrain,electricity indicators,Electricity Generation - Nuclear,%,2011,0
bahrain,electricity indicators,Electricity Generation - Renewables,%,2011,0
bahrain,electricity indicators,Electricity Generation - Solar,%,2011,0
bahrain,electricity indicators,Electricity Generation - Wind,%,2011,0
bahrain,electricity indicators,Electricity Generation - Hydropower,%,2011,0
bahrain,electricity indicators,Electricity Generation - Other,%,2011,0
bahrain,electricity indicators,Access to Electricity,%,2010,100
bahrain,electricity indicators,Total installed generation capacity,MW,2010,3227
bahrain,electricity indicators,Total generated electricity,GWh,2010,23824
bahrain,electricity indicators,Electricty imports,GWh,2010,192
bahrain,electricity indicators,Electricity exports,GWh,2010,19
bahrain,electricity indicators,Losses,GWh,2010,1614
bahrain,electricity indicators,Final electricity consumption,GWh,2010,22198
bahrain,electricity indicators,Electricity consumption per capita,kWh,2010,17603.48929
bahrain,electricity indicators,Cost of electricity,$/kWh,2010,
bahrain,electricity indicators,Electricity price,$/kWh,2010,
bahrain,electricity indicators,Electricity Generation - Crude Oil and Oil Products,%,2010,0
bahrain,electricity indicators,Electricity Generation - Natural Gas,%,2010,100
bahrain,electricity indicators,Electricity Generation - Coal,%,2010,0
bahrain,electricity indicators,Electricity Generation - Nuclear,%,2010,0
bahrain,electricity indicators,Electricity Generation - Renewables,%,2010,0
bahrain,electricity indicators,Electricity Generation - Solar,%,2010,0
bahrain,electricity indicators,Electricity Generation - Wind,%,2010,0
bahrain,electricity indicators,Electricity Generation - Hydropower,%,2010,0
bahrain,electricity indicators,Electricity Generation - Other,%,2010,0
bahrain,energy efficiency indicators,RISE score,/100,2017,
bahrain,energy efficiency indicators,RISE energy efficiency score,/100,2017,
bahrain,energy efficiency indicators,Energy efficiency potential,% of TPES,2017,
bahrain,energy efficiency indicators,Energy efficiency potential - Electricity sector,% of EE potential,2017,
bahrain,energy efficiency indicators,Energy efficiency potential - Residential Sector,% of EE potential,2017,
bahrain,energy efficiency indicators,Energy efficiency potential - Industry Sector,% of EE potential,2017,
bahrain,energy efficiency indicators,Energy efficiency potential - Transport Sector,% of EE potential,2017,
bahrain,energy efficiency indicators,Energy efficiency potential - Services Sector,% of EE potential,2017,
bahrain,energy efficiency indicators,RISE score,/100,2016,47.33
bahrain,energy efficiency indicators,RISE energy efficiency score,/100,2016,26.7
bahrain,energy efficiency indicators,Energy efficiency potential,% of TPES,2016,
bahrain,energy efficiency indicators,Energy efficiency potential - Electricity sector,% of EE potential,2016,
bahrain,energy efficiency indicators,Energy efficiency potential - Residential Sector,% of EE potential,2016,
bahrain,energy efficiency indicators,Energy efficiency potential - Industry Sector,% of EE potential,2016,
bahrain,energy efficiency indicators,Energy efficiency potential - Transport Sector,% of EE potential,2016,
bahrain,energy efficiency indicators,Energy efficiency potential - Services Sector,% of EE potential,2016,
bahrain,energy efficiency indicators,RISE score,/100,2015,
bahrain,energy efficiency indicators,RISE energy efficiency score,/100,2015,
bahrain,energy efficiency indicators,Energy efficiency potential,% of TPES,2015,
bahrain,energy efficiency indicators,Energy efficiency potential - Electricity sector,% of EE potential,2015,
bahrain,energy efficiency indicators,Energy efficiency potential - Residential Sector,% of EE potential,2015,
bahrain,energy efficiency indicators,Energy efficiency potential - Industry Sector,% of EE potential,2015,
bahrain,energy efficiency indicators,Energy efficiency potential - Transport Sector,% of EE potential,2015,
bahrain,energy efficiency indicators,Energy efficiency potential - Services Sector,% of EE potential,2015,
bahrain,energy efficiency indicators,RISE score,/100,2014,
bahrain,energy efficiency indicators,RISE energy efficiency score,/100,2014,
bahrain,energy efficiency indicators,Energy efficiency potential,% of TPES,2014,
bahrain,energy efficiency indicators,Energy efficiency potential - Electricity sector,% of EE potential,2014,
bahrain,energy efficiency indicators,Energy efficiency potential - Residential Sector,% of EE potential,2014,
bahrain,energy efficiency indicators,Energy efficiency potential - Industry Sector,% of EE potential,2014,
bahrain,energy efficiency indicators,Energy efficiency potential - Transport Sector,% of EE potential,2014,
bahrain,energy efficiency indicators,Energy efficiency potential - Services Sector,% of EE potential,2014,
bahrain,energy efficiency indicators,RISE score,/100,2013,
bahrain,energy efficiency indicators,RISE energy efficiency score,/100,2013,
bahrain,energy efficiency indicators,Energy efficiency potential,% of TPES,2013,
bahrain,energy efficiency indicators,Energy efficiency potential - Electricity sector,% of EE potential,2013,
bahrain,energy efficiency indicators,Energy efficiency potential - Residential Sector,% of EE potential,2013,
bahrain,energy efficiency indicators,Energy efficiency potential - Industry Sector,% of EE potential,2013,
bahrain,energy efficiency indicators,Energy efficiency potential - Transport Sector,% of EE potential,2013,
bahrain,energy efficiency indicators,Energy efficiency potential - Services Sector,% of EE potential,2013,
bahrain,energy efficiency indicators,RISE score,/100,2012,
bahrain,energy efficiency indicators,RISE energy efficiency score,/100,2012,
bahrain,energy efficiency indicators,Energy efficiency potential,% of TPES,2012,8.4
bahrain,energy efficiency indicators,Energy efficiency potential - Electricity sector,% of EE potential,2012,33.60692717
bahrain,energy efficiency indicators,Energy efficiency potential - Residential Sector,% of EE potential,2012,14.255071
bahrain,energy efficiency indicators,Energy efficiency potential - Industry Sector,% of EE potential,2012,15.13108095
bahrain,energy efficiency indicators,Energy efficiency potential - Transport Sector,% of EE potential,2012,12.66232564
bahrain,energy efficiency indicators,Energy efficiency potential - Services Sector,% of EE potential,2012,8.361913158
bahrain,energy efficiency indicators,RISE score,/100,2011,
bahrain,energy efficiency indicators,RISE energy efficiency score,/100,2011,
bahrain,energy efficiency indicators,Energy efficiency potential,% of TPES,2011,
bahrain,energy efficiency indicators,Energy efficiency potential - Electricity sector,% of EE potential,2011,
bahrain,energy efficiency indicators,Energy efficiency potential - Residential Sector,% of EE potential,2011,
bahrain,energy efficiency indicators,Energy efficiency potential - Industry Sector,% of EE potential,2011,
bahrain,energy efficiency indicators,Energy efficiency potential - Transport Sector,% of EE potential,2011,
bahrain,energy efficiency indicators,Energy efficiency potential - Services Sector,% of EE potential,2011,
bahrain,energy efficiency indicators,RISE score,/100,2010,
bahrain,energy efficiency indicators,RISE energy efficiency score,/100,2010,
bahrain,energy efficiency indicators,Energy efficiency potential,% of TPES,2010,
bahrain,energy efficiency indicators,Energy efficiency potential - Electricity sector,% of EE potential,2010,
bahrain,energy efficiency indicators,Energy efficiency potential - Residential Sector,% of EE potential,2010,
bahrain,energy efficiency indicators,Energy efficiency potential - Industry Sector,% of EE potential,2010,
bahrain,energy efficiency indicators,Energy efficiency potential - Transport Sector,% of EE potential,2010,
bahrain,energy efficiency indicators,Energy efficiency potential - Services Sector,% of EE potential,2010,
egypt,economic indicators,GDP,US $B,2017,
egypt,economic indicators,GDP based on PPP,Int. $B,2017,
egypt,economic indicators,Real GDP growth,%,2017,
egypt,economic indicators,GDP per capita,US $,2017,
egypt,economic indicators,GDP per capita based on PPP,Int. $B,2017,
egypt,economic indicators,Population,million,2017,
egypt,economic indicators,Land Area,sq.km,2017,
egypt,economic indicators,Human Development Index,,2017,
egypt,economic indicators,Inflation rate,%,2017,
egypt,economic indicators,Unemployment rate,%,2017,
egypt,economic indicators,Current account balance,US $B,2017,
egypt,economic indicators,Government Gross Debt (share of GDP),%,2017,
egypt,economic indicators,International Reserves,US $B,2017,
egypt,economic indicators,CO2 emissions intensity,kg/$1000 of GDP,2017,
egypt,economic indicators,CO2 emissions per capita,metric tons,2017,
egypt,economic indicators,GDP,US $B,2016,
egypt,economic indicators,GDP based on PPP,Int. $B,2016,1105.04
egypt,economic indicators,Real GDP growth,%,2016,3.8
egypt,economic indicators,GDP per capita,US $,2016,
egypt,economic indicators,GDP per capita based on PPP,Int. $B,2016,12137
egypt,economic indicators,Population,million,2016,93.38
egypt,economic indicators,Land Area,sq.km,2016,995450
egypt,economic indicators,Human Development Index,,2016,
egypt,economic indicators,Inflation rate,%,2016,10.2
egypt,economic indicators,Unemployment rate,%,2016,12.7
egypt,economic indicators,Current account balance,US $B,2016,
egypt,economic indicators,Government Gross Debt (share of GDP),%,2016,94.6
egypt,economic indicators,International Reserves,US $B,2016,
egypt,economic indicators,CO2 emissions intensity,kg/$1000 of GDP,2016,
egypt,economic indicators,CO2 emissions per capita,metric tons,2016,
egypt,economic indicators,GDP,US $B,2015,330.16
egypt,economic indicators,GDP based on PPP,Int. $B,2015,1050.45
egypt,economic indicators,Real GDP growth,%,2015,4.2
egypt,economic indicators,GDP per capita,US $,2015,3710
egypt,economic indicators,GDP per capita based on PPP,Int. $B,2015,11803
egypt,economic indicators,Population,million,2015,91.51
egypt,economic indicators,Land Area,sq.km,2015,995450
egypt,economic indicators,Human Development Index,,2015,
egypt,economic indicators,Inflation rate,%,2015,11
egypt,economic indicators,Unemployment rate,%,2015,12.9
